alim_code	kcal	protein	glucid	lipid
10010	85.5	17.9	0.94	1.15
10011	67.2	8.64	3.86	1.91
10014	71.8	11.2	2.69	1.82
10015	86.9	17.7	1.07	1.34
10016	76.3	16.2	0.51	1.05
10017	80.5	11.5	2.66	2.65
10018	60.1	12.9	0.97	0.5
10019	131.0	23.8	7.61	0.57
10021	99.0	19.7	3.21	0.84
10024	89.8	19.1	1.53	0.79
10026	68.7	10.7	2.77	1.67
10030	68.3	14.8	0.81	0.64
10035	67.2	8.64	3.86	1.91
10036	53.5	10.2	1.16	0.9
10038	105.0	23.4	0.74	0.9
10039	104.0	19.5	0.027	2.86
10041	99.6	14.4	8.69	0.83
10045	83.6	17.9	1.15	0.84
10048	81.3	17.3	1.78	0.54
10049	88.7	17.5	3.1	0.7
10059	92.3	21.9	0.0	0.53
34500	70.0	16.2	0.66	0.28
8059	192.0	12.2	3.5	13.6
8080	243.0	13.9	0.3	20.7
8081	237.0	15.1	2.0	18.4
8082	199.0	16.4	1.65	13.8
8083	246.0	11.0	1.0	22.0
8291	171.0	11.0	5.5	11.4
8292	188.0	8.4	6.5	14.0
8293	534.0	6.75	3.19	54.8
10002	252.0	8.69	21.2	14.4
10005	111.0	14.8	8.72	1.8
10012	282.0	10.9	29.0	13.6
10023	222.0	6.5	26.0	10.0
10028	102.0	14.6	5.93	2.2
10042	277.0	12.9	2.26	23.7
10081	145.0	12.5	5.0	7.9
25433	275.0	12.4	15.1	17.6
25537	194.0	19.8	0.22	12.7
25995	246.0	19.7	0.55	18.3
25999	198.0	24.8	1.48	10.3
26000	182.0	26.4	0.2	8.45
26002	242.0	13.4	8.86	16.8
26004	111.0	10.4	1.0	7.27
26010	211.0	13.7	8.0	13.8
26016	206.0	16.7	11.9	10.2
26027	167.0	13.0	3.99	11.0
26028	255.0	13.2	18.4	13.7
26029	162.0	11.0	16.1	5.73
26030	193.0	11.9	13.4	10.0
26034	207.0	24.4	0.49	12.0
26035	193.0	20.2	1.38	11.6
26039	111.0	26.8	0.0	0.4
26040	202.0	24.3	1.06	11.2
26046	125.0	8.31	11.8	4.92
26056	146.0	26.9	0.1	4.2
26077	165.0	30.0	0.0	5.06
26086	227.0	17.7	1.94	16.3
26096	217.0	20.8	1.09	14.2
26097	207.0	17.8	2.25	14.1
26119	180.0	20.5	1.5	10.2
26123	189.0	21.6	0.0	11.4
26124	190.0	12.6	13.0	9.57
26142	433.0	7.25	1.1	44.4
26177	128.0	25.0	0.0	3.1
26179	192.0	31.3	1.01	6.95
26180	206.0	23.3	0.76	12.2
26181	128.0	26.6	0.58	1.98
26187	136.0	23.9	2.7	3.26
26231	213.0	21.5	0.62	13.9
26239	149.0	6.6	9.24	9.3
26242	130.0	14.6	4.33	5.93
26243	142.0	10.8	5.05	8.6
26245	227.0	23.4	0.0	14.8
26275	224.0	30.8	1.5	10.5
22008	47.3	10.3	1.12	0.17
22009	340.0	16.0	1.31	30.1
22010	134.0	13.5	0.52	8.62
22011	138.0	12.5	0.71	9.47
22014	142.0	12.2	1.08	9.82
22501	204.0	14.3	0.74	16.0
22502	145.0	9.99	1.62	11.0
22505	147.0	13.8	1.01	9.72
22000	140.0	12.7	0.27	9.83
22001	48.1	10.8	0.85	0.19
22002	307.0	15.5	1.09	26.7
22050	154.0	13.1	0.41	11.1
22060	181.0	13.0	1.31	13.8
22070	180.0	13.8	1.4	13.3
22080	166.0	13.7	1.13	11.9
22003	660.0	34.1	2.77	57.0
22004	356.0	81.2	7.73	0.0
22013	582.0	47.9	3.11	42.0
22506	255.0	17.7	2.56	19.3
22507	267.0	12.5	1.46	23.5
22508	125.0	8.09	2.28	9.2
22509	147.0	9.5	1.98	11.2
22510	165.0	5.56	11.7	9.9
22511	184.0	9.82	5.07	13.5
20591	150.0	20.4	7.03	2.9
20904	148.0	14.7	2.87	8.5
20912	164.0	16.4	2.91	9.5
25223	157.0	21.3	6.76	3.7
25224	185.0	19.3	8.19	7.0
25598	134.0	20.6	6.74	2.5
19023	65.1	3.25	4.85	3.63
19024	56.5	3.23	3.47	3.3
19037	46.6	3.31	4.8	1.52
19038	44.1	3.31	4.79	1.25
19039	47.3	3.32	4.82	1.59
